t(s),y(m)
0.00000,0.00
0.10000,0.005
0.20000,0.02
0.30000,0.05
0.40000,0.08
0.50000,0.13
0.60000,0.18
0.70000,0.24
0.80000,0.31
0.90000,0.40
1.00000,0.49
