t(s),x(m)
0.0000,0.20
0.0292,0.19
0.0583,0.18
0.0875,0.17
0.1167,0.16
0.1417,0.15
0.1708,0.14
0.1958,0.13
0.2250,0.12
0.2542,0.11
0.2792,0.10
0.3008,0.09
0.3333,0.08
0.3625,0.07
