t(s),x(m)
0.0000,0.00
0.0167,0.01
0.0375,0.02
0.0583,0.03
0.0792,0.04
0.1042,0.05
0.1292,0.06
0.1583,0.07
0.1917,0.08
0.2333,0.09
0.3000,0.10
