Corriente 1: Tiempo (s);Corriente 1: Corriente (mA);Corriente 1: Voltaje (V);Corriente 1: Temperatura (°C);Corriente 1: Potencia (mW);Corriente 2: Tiempo (s);Corriente 2: Corriente (mA);Corriente 2: Voltaje (V);Corriente 2: Temperatura (°C);Corriente 2: Potencia (mW)
130;799,2413744;3,350023077;16,61301739;2677,477048;130;597,7514121;2,514316185;17,4455479;1502,93605
130,5;799,1770828;3,353106866;16,62055759;2679,726164;130,5;597,8157037;2,516372044;17,43955724;1504,326724
131;799,1770828;3,348995147;16,61150929;2676,440172;131;597,9764328;2,515344115;17,43955724;1504,116501
131,5;799,2092286;3,351051007;16,61452547;2678,19089;131,5;597,8478495;2,517399974;17,4455479;1505,022161
132;799,2092286;3,351051007;16,61301739;2678,19089;132;597,8799953;2,517399974;17,43955724;1505,103085
132,5;799,2092286;3,350023077;16,62055759;2677,369359;132,5;597,9442869;2,515344115;17,44405027;1504,035643
133;799,2413744;3,350023077;16,61301739;2677,477048;133;597,9764328;2,516372044;17,45153828;1504,731179
133,5;799,2735203;3,351051007;16,62206557;2678,406335;133,5;598,0085786;2,517399974;17,44704553;1505,42678
134;799,2413744;3,352078937;16,62658938;2679,120176;134;597,9121411;2,516372044;17,44255261;1504,569397
134,5;799,2092286;3,353106866;16,62508147;2679,833952;134,5;597,8478495;2,516372044;17,44255261;1504,407615
135;799,2092286;3,351051007;16,61754157;2678,19089;135;597,7514121;2,515344115;17,44854313;1503,550496
135,5;799,2092286;3,351051007;16,62658938;2678,19089;135,5;597,8157037;2,516372044;17,44704553;1504,326724
136;799,2413744;3,352078937;16,62206557;2679,120176;136;597,7192662;2,515344115;17,45153828;1503,469639
136,5;799,4021035;3,353106866;16,63412868;2680,480682;136,5;597,7835579;2,515344115;17,44704553;1503,631354
137;799,3056661;3,348995147;16,63714426;2676,870797;137;597,7835579;2,515344115;17,45153828;1503,631354
137,5;799,2735203;3,350023077;16,62960516;2677,584738;137,5;597,7192662;2,515344115;17,45153828;1503,469639
138;799,1770828;3,352078937;16,62960516;2678,904666;138;597,6549746;2,516372044;17,45453337;1503,92227
138,5;799,2735203;3,350023077;16,63412868;2677,584738;138,5;597,7514121;2,515344115;17,45752838;1503,550496
139;799,2735203;3,351051007;16,63111302;2678,406335;139;597,7192662;2,516372044;17,45303583;1504,084052
139,5;799,2735203;3,352078937;16,63262086;2679,227932;139,5;597,6549746;2,516372044;17,45153828;1503,92227
140;799,3378119;3,353106866;16,63865202;2680,265106;140;597,8478495;2,516372044;17,45752838;1504,407615
140,5;799,2413744;3,352078937;16,63714426;2679,120176;140,5;597,7514121;2,516372044;17,45752838;1504,164943
141;799,3056661;3,352078937;16,63412868;2679,335687;141;597,7514121;2,516372044;17,45752838;1504,164943
141,5;799,3699577;3,352078937;16,63865202;2679,551198;141,5;597,7514121;2,517399974;17,46202076;1504,779389
142;799,3056661;3,352078937;16,64468287;2679,335687;142;597,7514121;2,515344115;17,45902585;1503,550496
142,5;799,3378119;3,352078937;16,64468287;2679,443442;142,5;597,7835579;2,515344115;17,45752838;1503,631354
143;799,4342493;3,352078937;16,64769817;2679,766708;143;597,7835579;2,513288255;17,45902585;1502,402395
143,5;799,3378119;3,352078937;16,64317519;2679,443442;143,5;597,7514121;2,516372044;17,46351818;1504,164943
144;799,4342493;3,351051007;16,64619053;2678,944946;144;597,6549746;2,516372044;17,46501559;1503,92227
144,5;799,3699577;3,351051007;16,64769817;2678,729502;144,5;597,6871204;2,515344115;17,46052332;1503,388781
145;799,3378119;3,350023077;16,64166749;2677,800116;145;597,7514121;2,517399974;17,46052332;1504,779389
145,5;799,4663951;3,352078937;16,65222097;2679,874464;145,5;597,8157037;2,515344115;17,46801035;1503,712212
146;799,3056661;3,351051007;16,64619053;2678,514057;146;597,7192662;2,516372044;17,47100504;1504,084052
146,5;799,3056661;3,352078937;16,65222097;2679,335687;146,5;597,7192662;2,517399974;17,46801035;1504,698465
147;799,3056661;3,351051007;16,65372854;2678,514057;147;597,6549746;2,515344115;17,47250236;1503,307923
147,5;799,3056661;3,350023077;16,6567436;2677,692427;147,5;597,7192662;2,517399974;17,46801035;1504,698465
148;799,2092286;3,351051007;16,65222097;2678,19089;148;597,7192662;2,516372044;17,47399966;1504,084052
148,5;799,3056661;3,353106866;16,65372854;2680,157317;148,5;597,6871204;2,517399974;17,47549695;1504,617541
149;799,3056661;3,351051007;16,65372854;2678,514057;149;597,6871204;2,515344115;17,47250236;1503,388781
149,5;799,3699577;3,350023077;16,6582511;2677,907805;149,5;597,6228288;2,517399974;17,46801035;1504,455694
150;799,3056661;3,350023077;16,65975859;2677,692427;150;597,6871204;2,515344115;17,47549695;1503,388781
150,5;799,4021035;3,355162726;16,66126605;2682,124141;150,5;597,590683;2,513288255;17,47549695;1501,917645
151;799,3378119;3,354134796;16,6582511;2681,086769;151;597,590683;2,516372044;17,47100504;1503,760489
151,5;799,2735203;3,353106866;16,66277349;2680,049529;151,5;597,6228288;2,515344115;17,47399966;1503,227065
152;799,3056661;3,352078937;16,66578832;2679,335687;152;597,7192662;2,516372044;17,47549695;1504,084052
152,5;799,2735203;3,350023077;16,66880307;2677,584738;152,5;597,7192662;2,516372044;17,47998869;1504,084052
153;799,2735203;3,354134796;16,66277349;2680,871126;153;597,7192662;2,515344115;17,47399966;1503,469639
153,5;799,3378119;3,351051007;16,66578832;2678,621779;153,5;597,7514121;2,516372044;17,47998869;1504,164943
154;799,2413744;3,353106866;16,67332504;2679,94174;154;597,8157037;2,516372044;17,48747457;1504,326724
154,5;799,2735203;3,351051007;16,67332504;2678,406335;154,5;597,8799953;2,515344115;17,4829831;1503,873927
155;799,3699577;3,351051007;16,67784683;2678,729502;155;597,7514121;2,517399974;17,47998869;1504,779389
155,5;799,3378119;3,351051007;16,67633959;2678,621779;155,5;597,8799953;2,517399974;17,4904688;1505,103085
156;799,498541;3,352078937;16,66880307;2679,982219;156;597,9764328;2,516372044;17,48448027;1504,731179
156,5;799,3699577;3,353106866;16,67633959;2680,372894;156,5;597,9442869;2,516372044;17,4904688;1504,650288
157;799,4021035;3,353106866;16,68236845;2680,480682;157;597,8478495;2,514316185;17,4814859;1503,178524
157,5;799,4342493;3,353106866;16,68086126;2680,588471;157,5;597,8478495;2,516372044;17,48597743;1504,407615
158;799,2735203;3,350023077;16,67935406;2677,584738;158;597,8157037;2,516372044;17,4904688;1504,326724
158,5;799,4342493;3,353106866;16,68387561;2680,588471;158,5;597,8478495;2,516372044;17,49196589;1504,407615
159;799,4342493;3,351051007;16,68688989;2678,944946;159;597,9121411;2,516372044;17,49496001;1504,569397
159,5;799,3699577;3,354134796;16,68236845;2681,19459;159,5;597,8478495;2,517399974;17,49645705;1505,022161
160;799,3699577;3,354134796;16,69141115;2681,19459;160;597,8157037;2,515344115;17,49645705;1503,712212
160,5;799,3056661;3,350023077;16,68538276;2677,692427;160,5;597,9442869;2,516372044;17,49645705;1504,650288
161;799,3378119;3,353106866;16,68990408;2680,265106;161;597,8478495;2,517399974;17,50094804;1505,022161
161,5;799,3056661;3,351051007;16,68538276;2678,514057;161,5;597,9442869;2,516372044;17,50244501;1504,650288
162;799,2413744;3,354134796;16,69894619;2680,763304;162;597,8799953;2,515344115;17,49795406;1503,873927
162,5;799,3378119;3,353106866;16,6929182;2680,265106;162,5;597,7192662;2,517399974;17,50094804;1504,698465
163;799,2735203;3,351051007;16,70196007;2678,406335;163;597,8157037;2,515344115;17,50693579;1503,712212
163,5;799,3056661;3,350023077;16,69894619;2677,692427;163,5;597,9442869;2,516372044;17,50693579;1504,650288
164;799,2413744;3,351051007;16,69593223;2678,298612;164;597,7835579;2,516372044;17,50543888;1504,245834
164,5;799,2735203;3,351051007;16,70045314;2678,406335;164,5;597,6549746;2,517399974;17,50244501;1504,536618
165;799,2413744;3,352078937;16,70497387;2679,120176;165;597,8478495;2,516372044;17,50543888;1504,407615
165,5;799,3056661;3,350023077;16,70497387;2677,692427;165,5;597,8799953;2,518427904;17,50992956;1505,717663
166;799,4342493;3,353106866;16,70949442;2680,588471;166;597,8478495;2,517399974;17,50543888;1505,022161
166,5;799,3378119;3,353106866;16,70045314;2680,265106;166,5;597,7835579;2,515344115;17,50394195;1503,631354
167;799,2735203;3,350023077;16,71552154;2677,584738;167;597,7514121;2,516372044;17,51142642;1504,164943
167,5;799,3056661;3,353106866;16,71552154;2680,157317;167,5;597,6549746;2,517399974;17,51142642;1504,536618
168;799,2735203;3,355162726;16,71853499;2681,692723;168;597,7514121;2,516372044;17,50843269;1504,164943
168,5;799,4342493;3,353106866;16,71702828;2680,588471;168,5;597,7514121;2,517399974;17,50543888;1504,779389
169;799,4342493;3,351051007;16,71401479;2678,944946;169;597,8478495;2,517399974;17,51442008;1505,022161
169,5;799,4021035;3,355162726;16,72004168;2682,124141;169,5;597,8478495;2,516372044;17,51591689;1504,407615
170;799,4021035;3,354134796;16,71702828;2681,302411;170;597,7835579;2,517399974;17,51891044;1504,860313
170,5;799,6271242;3,358246515;16,72456164;2685,345003;170,5;597,7192662;2,515344115;17,51741367;1503,469639
171;799,5306868;3,351051007;16,71552154;2679,268113;171;597,7514121;2,517399974;17,50992956;1504,779389
171,5;799,4342493;3,352078937;16,72004168;2679,766708;171,5;597,7835579;2,516372044;17,51292326;1504,245834
172;799,5949784;3,355162726;16,73661401;2682,771267;172;597,7835579;2,514316185;17,51142642;1503,016875
172,5;799,5306868;3,355162726;16,72908143;2682,555558;172,5;597,6549746;2,517399974;17,52040719;1504,536618
173;799,5306868;3,354134796;16,73058798;2681,733697;173;597,6871204;2,516372044;17,51891044;1504,003161
173,5;799,4342493;3,353106866;16,73360103;2680,588471;173,5;597,8478495;2,516372044;17,52040719;1504,407615
174;799,4663951;3,352078937;16,73209452;2679,874464;174;597,7835579;2,518427904;17,52190393;1505,474793
174,5;799,4342493;3,352078937;16,73661401;2679,766708;174,5;597,6871204;2,516372044;17,52040719;1504,003161
175;799,498541;3,354134796;16,7396269;2681,625876;175;597,7514121;2,517399974;17,52489734;1504,779389
175,5;799,4663951;3,353106866;16,74263972;2680,696259;175,5;597,8799953;2,516372044;17,53238057;1504,488506
176;799,4021035;3,355162726;16,73812046;2682,124141;176;597,7835579;2,517399974;17,52639403;1504,860313
176,5;799,4342493;3,355162726;16,74565246;2682,231995;176,5;597,7192662;2,516372044;17,52340065;1504,084052
177;799,4663951;3,356190656;16,74263972;2683,161645;177;597,7835579;2,517399974;17,53088396;1504,860313
177,5;799,4342493;3,354134796;16,74263972;2681,410233;177,5;597,7835579;2,517399974;17,52938733;1504,860313
178;799,5306868;3,352078937;16,7471588;2680,089974;178;597,6871204;2,516372044;17,52789069;1504,003161
178,5;799,4663951;3,352078937;16,75017142;2679,874464;178,5;597,7835579;2,516372044;17,52639403;1504,245834
179;799,498541;3,354134796;16,74263972;2681,625876;179;597,8478495;2,516372044;17,53238057;1504,407615
179,5;799,4342493;3,354134796;16,7546902;2681,410233;179,5;597,8157037;2,517399974;17,52489734;1504,941237
180;799,4342493;3,354134796;16,7516777;2681,410233;180;597,7514121;2,516372044;17,53088396;1504,164943
180,5;799,4342493;3,353106866;16,7471588;2680,588471;180,5;597,7835579;2,516372044;17,52639403;1504,245834
181;799,4021035;3,354134796;16,7546902;2681,302411;181;597,8157037;2,516372044;17,5368703;1504,326724
181,5;799,4021035;3,354134796;16,75619642;2681,302411;181,5;597,7514121;2,516372044;17,53238057;1504,164943
182;799,3056661;3,353106866;16,75920881;2680,157317;182;597,6549746;2,514316185;17,53238057;1502,693576
182,5;799,4342493;3,353106866;16,76372724;2680,588471;182,5;597,6871204;2,517399974;17,53088396;1504,617541
183;799,4342493;3,355162726;16,76222112;2682,231995;183;597,7192662;2,517399974;17,54135987;1504,698465
183,5;799,4342493;3,354134796;16,76673943;2681,410233;183,5;597,7835579;2,515344115;17,54135987;1503,631354
184;799,4021035;3,355162726;16,76372724;2682,124141;184;597,7514121;2,516372044;17,53387717;1504,164943
184,5;799,4021035;3,352078937;16,76222112;2679,658953;184,5;597,7835579;2,518427904;17,5368703;1505,474793
185;799,4021035;3,353106866;16,76523335;2680,480682;185;597,8478495;2,517399974;17,53836684;1505,022161
185,5;799,3056661;3,354134796;16,76523335;2680,978947;185,5;597,9121411;2,518427904;17,54285635;1505,79862
186;799,4342493;3,353106866;16,76523335;2680,588471;186;597,8478495;2,516372044;17,54734571;1504,407615
186,5;799,3378119;3,353106866;16,76975154;2680,265106;186,5;597,8799953;2,518427904;17,54435282;1505,717663
187;799,4021035;3,350023077;16,76673943;2678,015495;187;597,9121411;2,517399974;17,53836684;1505,184009
187,5;799,4021035;3,353106866;16,76975154;2680,480682;187,5;597,9121411;2,518427904;17,54435282;1505,79862
188;799,4342493;3,355162726;16,77125757;2682,231995;188;597,8157037;2,515344115;17,54435282;1503,712212
188,5;799,3378119;3,354134796;16,77577553;2681,086769;188,5;597,7835579;2,517399974;17,54435282;1504,860313
189;799,3056661;3,353106866;16,76975154;2680,157317;189;597,7835579;2,518427904;17,54734571;1505,474793
189,5;799,3378119;3,355162726;16,77728148;2681,908432;189,5;597,7514121;2,517399974;17,54584928;1504,779389
190;799,3056661;3,353106866;16,78481093;2680,157317;190;597,8157037;2,519455834;17,54584928;1506,170262
190,5;799,4342493;3,353106866;16,77276358;2680,588471;190,5;597,8157037;2,516372044;17,54884213;1504,326724
191;799,3699577;3,353106866;16,78029332;2680,372894;191;597,7835579;2,516372044;17,55183491;1504,245834
191,5;799,4021035;3,355162726;16,77878741;2682,124141;191,5;597,6549746;2,517399974;17,55183491;1504,536618
192;799,3378119;3,355162726;16,78179921;2681,908432;192;597,6228288;2,516372044;17,55333127;1503,841379
192,5;799,4342493;3,353106866;16,78631676;2680,588471;192,5;597,7835579;2,516372044;17,55632395;1504,245834
193;799,4342493;3,353106866;16,78330508;2680,588471;193;597,7192662;2,515344115;17,55333127;1503,469639
193,5;799,4021035;3,352078937;16,79384563;2679,658953;193,5;597,7514121;2,513288255;17,55632395;1502,321603
194;799,3699577;3,353106866;16,78481093;2680,372894;194;597,7514121;2,521511693;17,55183491;1507,237175
194,5;799,3056661;3,354134796;16,78932837;2680,978947;194,5;597,9442869;2,516372044;17,55482762;1504,650288
195;799,3056661;3,354134796;16,79233989;2680,978947;195;597,8478495;2,516372044;17,55931655;1504,407615
195,5;799,3056661;3,353106866;16,79384563;2680,157317;195,5;597,8799953;2,516372044;17,55782026;1504,488506
196;799,2735203;3,353106866;16,79384563;2680,049529;196;597,7514121;2,517399974;17,55632395;1504,779389
196,5;799,3699577;3,354134796;16,79233989;2681,19459;196,5;597,8478495;2,516372044;17,55632395;1504,407615
197;799,3699577;3,355162726;16,79836271;2682,016286;197;597,7514121;2,516372044;17,55632395;1504,164943
197,5;799,4663951;3,353106866;16,79836271;2680,696259;197,5;597,7835579;2,518427904;17,55931655;1505,474793
198;799,4663951;3,353106866;16,79384563;2680,696259;198;597,7835579;2,517399974;17,55931655;1504,860313
198,5;799,5306868;3,353106866;16,80137401;2680,911836;198,5;597,7514121;2,517399974;17,55782026;1504,779389
199;799,4663951;3,353106866;16,8058908;2680,696259;199;597,7192662;2,517399974;17,55782026;1504,698465
199,5;799,4021035;3,354134796;16,8058908;2681,302411;199,5;597,8157037;2,517399974;17,56380533;1504,941237
200;799,4663951;3,354134796;16,8058908;2681,518054;200;597,7835579;2,517399974;17,56380533;1504,860313
